User: sleevingsa, Unboxed: USP-S | Target Acquired, Winnings: $3000.0
User: sleevings, Unboxed: AWP | Dragon Lore, Winnings: $3000.0
User: sleevings, Unboxed: Karambit | Marble Fade, Winnings: $30000.0
User: sleevings, Unboxed: USP-S | Target Acquired, Winnings: $300.0
User: sleevings, Unboxed: AK-47 | Fire Serpent, Winnings: $3000.0
User: sleevings, Unboxed: AK-47 | Fire Serpent, Winnings: $3000.0
User: sleevings, Unboxed: AK-47 | Fire Serpent, Winnings: $3000.0
User: sleevings, Unboxed: AK-47 | Fire Serpent, Winnings: $3000.0
User: sleevings, Unboxed: Karambit | Marble Fade, Winnings: $30000.0
User: sleevings, Unboxed: Karambit | Marble Fade, Winnings: $30000.0
User: sleevings, Unboxed: AK-47 | Fire Serpent, Winnings: $3000.0
User: sleevings, Unboxed: AK-47 | Fire Serpent, Winnings: $3000.0
User: sleevings, Unboxed: AK-47 | Fire Serpent, Winnings: $30000.0
User: sle, Unboxed: AWP | Safari Mesh, Winnings: $30.0
User: sle, Unboxed: Glock-18 | Dragon Tattoo, Winnings: $300.0
User: sle, Unboxed: AWP | Safari Mesh, Winnings: $30.0
User: sle, Unboxed: AWP | Safari Mesh, Winnings: $30.0
User: sle, Unboxed: AWP | Safari Mesh, Winnings: $3.0
User: sle, Unboxed: AWP | Safari Mesh, Winnings: $0.3
User: sle, Unboxed: AWP | Safari Mesh, Winnings: $0.3
User: sle, Unboxed: AWP | Safari Mesh, Winnings: $0.3
User: sle, Unboxed: AWP | Safari Mesh, Winnings: $0.3
User: sle, Unboxed: AWP | Safari Mesh, Winnings: $0.3
User: sle, Unboxed: AWP | Safari Mesh, Winnings: $0.3
User: sle, Unboxed: AWP | Safari Mesh, Winnings: $0.3
User: sle, Unboxed: AWP | Safari Mesh, Winnings: $0.3
User: sle, Unboxed: AWP | Safari Mesh, Winnings: $0.3
User: sle, Unboxed: AWP | Safari Mesh, Winnings: $0.3
User: sle, Unboxed: AWP | Safari Mesh, Winnings: $0.3
User: sle, Unboxed: Glock-18 | Dragon Tattoo, Winnings: $3.0
User: sle, Unboxed: AWP | Safari Mesh, Winnings: $0.3
User: sle, Unboxed: AWP | Safari Mesh, Winnings: $0.3
User: sle, Unboxed: Glock-18 | Dragon Tattoo, Winnings: $3.0
User: sle, Unboxed: AWP | Safari Mesh, Winnings: $0.3
User: sle, Unboxed: AWP | Safari Mesh, Winnings: $0.3
User: sle, Unboxed: AWP | Safari Mesh, Winnings: $0.3
User: sle, Unboxed: Glock-18 | Dragon Tattoo, Winnings: $3.0
User: sle, Unboxed: AWP | Safari Mesh, Winnings: $0.3
User: sle, Unboxed: AWP | Safari Mesh, Winnings: $0.3
User: sle, Unboxed: AWP | Safari Mesh, Winnings: $0.3
User: sle, Unboxed: AWP | Safari Mesh, Winnings: $0.3
User: sle, Unboxed: AWP | Safari Mesh, Winnings: $0.3
User: sle, Unboxed: AWP | Safari Mesh, Winnings: $0.3
User: sle, Unboxed: AWP | Safari Mesh, Winnings: $0.3
User: sle, Unboxed: AWP | Safari Mesh, Winnings: $0.3
User: sle, Unboxed: AWP | Safari Mesh, Winnings: $0.3
User: sle, Unboxed: Glock-18 | Dragon Tattoo, Winnings: $3.0
User: sle, Unboxed: AWP | Safari Mesh, Winnings: $0.3
User: sle, Unboxed: AWP | Safari Mesh, Winnings: $0.3
User: sle, Unboxed: AWP | Safari Mesh, Winnings: $0.3
User: sle, Unboxed: AWP | Safari Mesh, Winnings: $0.3
User: sle, Unboxed: AWP | Safari Mesh, Winnings: $0.3
User: sle, Unboxed: Glock-18 | Dragon Tattoo, Winnings: $3.0
User: sle, Unboxed: AWP | Safari Mesh, Winnings: $0.3
